Animal,Exp,Tratamiento,Edad,Sexo,Intensidad,IMv,IM,TotalEstimulos,Respuestas
SCGx5,ExpSCGx,scgx,Joven,M,6,"45,0",16,4,4
sham1,ExpSCGx,sham,Joven,M,1,"6,9",4,4,0
sham1,ExpSCGx,sham,Joven,M,2,"13,2",6,4,0
sham1,ExpSCGx,sham,Joven,M,3,"19,8",8,4,3
sham1,ExpSCGx,sham,Joven,M,4,"27,2",10,4,3
sham1,ExpSCGx,sham,Joven,M,5,"34,1",12,4,4
sham1,ExpSCGx,sham,Joven,M,6,"45,0",16,4,4
sham2,ExpSCGx,sham,Joven,M,1,"6,9",4,4,0
sham2,ExpSCGx,sham,Joven,M,2,"13,2",6,4,1
sham2,ExpSCGx,sham,Joven,M,3,"19,8",8,4,2
sham2,ExpSCGx,sham,Joven,M,4,"27,2",10,4,3
sham2,ExpSCGx,sham,Joven,M,5,"34,1",12,4,3
sham2,ExpSCGx,sham,Joven,M,6,"45,0",16,4,4
sham3,ExpSCGx,sham,Joven,M,1,"6,9",4,4,0
sham3,ExpSCGx,sham,Joven,M,2,"13,2",6,4,0
sham3,ExpSCGx,sham,Joven,M,3,"19,8",8,4,1
sham3,ExpSCGx,sham,Joven,M,4,"27,2",10,4,2
sham3,ExpSCGx,sham,Joven,M,5,"34,1",12,4,3
sham3,ExpSCGx,sham,Joven,M,6,"45,0",16,4,4
sham4,ExpSCGx,sham,Joven,M,1,"6,9",4,4,0
sham4,ExpSCGx,sham,Joven,M,2,"13,2",6,4,0
sham4,ExpSCGx,sham,Joven,M,3,"19,8",8,4,2
sham4,ExpSCGx,sham,Joven,M,4,"27,2",10,4,2
sham4,ExpSCGx,sham,Joven,M,5,"34,1",12,4,3
sham4,ExpSCGx,sham,Joven,M,6,"45,0",16,4,4
sham5,ExpSCGx,sham,Joven,M,1,"6,9",4,4,0
sham5,ExpSCGx,sham,Joven,M,2,"13,2",6,4,0
sham5,ExpSCGx,sham,Joven,M,3,"19,8",8,4,1
sham5,ExpSCGx,sham,Joven,M,4,"27,2",10,4,2
sham5,ExpSCGx,sham,Joven,M,5,"34,1",12,4,2
sham5,ExpSCGx,sham,Joven,M,6,"45,0",16,4,4
